ano,regiao,uf_sigla,municipio,categoria,nivel_atencao,numero_prof_padronizado
2020,Região Centro-Oeste,GO,Águas Lindas de Goiás,Farmacêutico,Secundária,2.0
2020,Região Centro-Oeste,GO,Águas Lindas de Goiás,Terapeuta Ocupacional,Secundária,1.0
2020,Região Centro-Oeste,GO,Cristalina,Farmacêutico,Terciária,1.0
2020,Região Centro-Oeste,GO,Luziânia,Técnico em Radiologia e Imagenologia,Terciária,1.7
2020,Região Centro-Oeste,GO,Luziânia,Técnico em Radiologia e Imagenologia,Secundária,14.5
2012,Região Centro-Oeste,GO,Cidade Ocidental,Cirurgião Dentista,Primária,4.0
2012,Região Centro-Oeste,GO,Luziânia,Farmacêutico,OUTROS/MÚLTIPLOS,3.1
2018,Região Centro-Oeste,GO,Águas Lindas de Goiás,Técnico ou Auxiliar de Enfermagem,Terciária,28.0
2017,Região Centro-Oeste,GO,Águas Lindas de Goiás,Técnico ou Auxiliar de Enfermagem,Primária,38.25
2025,Região Centro-Oeste,GO,Luziânia,Nutricionista,Primária,3.75
2025,Região Centro-Oeste,GO,Novo Gama,Farmacêutico,Primária,8.5
2025,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Psicólogo,Primária,6.0
2025,Região Centro-Oeste,GO,Valparaíso de Goiás,Biólogo,Terciária,0.5
2021,Região Centro-Oeste,GO,Cidade Ocidental,Técnico ou Auxiliar de Saúde Bucal,Primária,1.0
2021,Região Centro-Oeste,GO,Valparaíso de Goiás,Biomédico,Secundária,11.35
2019,Região Centro-Oeste,GO,Águas Lindas de Goiás,Técnico ou Auxiliar de Enfermagem,Secundária,61.175
2019,Região Centro-Oeste,GO,Novo Gama,Cirurgião Dentista,Primária,12.0
2019,Região Centro-Oeste,GO,Valparaíso de Goiás,Técnico em Radiologia e Imagenologia,Secundária,20.1
2026,Região Centro-Oeste,GO,Águas Lindas de Goiás,Psicólogo,Primária,18.75
2026,Região Centro-Oeste,GO,Águas Lindas de Goiás,Fisioterapeuta,OUTROS/MÚLTIPLOS,3.0
2026,Região Centro-Oeste,GO,Cidade Ocidental,Enfermeiro,Secundária,2.0
2026,Região Centro-Oeste,GO,Novo Gama,Farmacêutico,Primária,12.5
2011,Região Centro-Oeste,GO,Cristalina,Enfermeiro,Primária,11.0
2023,Região Centro-Oeste,GO,Águas Lindas de Goiás,Técnico ou Auxiliar de Enfermagem,Secundária,118.1
2023,Região Centro-Oeste,GO,Cristalina,Técnico ou Auxiliar de Saúde Bucal,Primária,1.0
2023,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Biomédico,Terciária,2.6
2010,Região Centro-Oeste,GO,Águas Lindas de Goiás,Técnico em Radiologia e Imagenologia,Secundária,0.45
2010,Região Centro-Oeste,GO,Cristalina,Farmacêutico,Terciária,2.05
2013,Região Centro-Oeste,GO,Águas Lindas de Goiás,Farmacêutico,Terciária,1.0
2013,Região Centro-Oeste,GO,Águas Lindas de Goiás,Farmacêutico,Primária,1.0
2013,Região Centro-Oeste,GO,Cristalina,Cirurgião Dentista,Secundária,10.0
2013,Região Centro-Oeste,GO,Luziânia,Biólogo,OUTROS/MÚLTIPLOS,0.75
2008,Região Centro-Oeste,GO,Novo Gama,Enfermeiro,Primária,16.0
2015,Região Centro-Oeste,GO,Cristalina,Cirurgião Dentista,Primária,10.0
2022,Região Centro-Oeste,GO,Cristalina,Farmacêutico,Secundária,3.6
2022,Região Centro-Oeste,GO,Valparaíso de Goiás,Médico,Primária,73.8
2020,Região Centro-Oeste,GO,Águas Lindas de Goiás,Biomédico,Terciária,1.125
2020,Região Centro-Oeste,GO,Cristalina,Psicólogo,Primária,4.25
2020,Região Centro-Oeste,GO,Luziânia,Técnico em Radiologia e Imagenologia,Primária,1.25
2020,Região Centro-Oeste,GO,Novo Gama,Psicólogo,Primária,2.0
2020,Região Centro-Oeste,GO,Valparaíso de Goiás,Farmacêutico,Secundária,11.15
2024,Região Centro-Oeste,GO,Cristalina,Agente Comunitário de Saúde,Primária,137.0
2024,Região Centro-Oeste,GO,Luziânia,Fonoaudiólogo,Terciária,1.2
2024,Região Centro-Oeste,GO,Luziânia,Fisioterapeuta,Primária,1.0
2024,Região Centro-Oeste,GO,Novo Gama,Nutricionista,Secundária,1.75
2012,Região Centro-Oeste,GO,Águas Lindas de Goiás,Nutricionista,OUTROS/MÚLTIPLOS,1.0
2012,Região Centro-Oeste,GO,Luziânia,Psicólogo,OUTROS/MÚLTIPLOS,0.5
2018,Região Centro-Oeste,GO,Águas Lindas de Goiás,Técnico ou Auxiliar de Enfermagem,Primária,44.25
2018,Região Centro-Oeste,GO,Águas Lindas de Goiás,Psicólogo,OUTROS/MÚLTIPLOS,1.0
2009,Região Centro-Oeste,GO,Luziânia,Técnico ou Auxiliar de Prótese Dentária,Secundária,0.5
2009,Região Centro-Oeste,GO,Valparaíso de Goiás,Biólogo,Secundária,4.25
2017,Região Centro-Oeste,GO,Luziânia,Agente Comunitário de Saúde,Primária,116.0
2017,Região Centro-Oeste,GO,Luziânia,Biólogo,OUTROS/MÚLTIPLOS,0.75
2025,Região Centro-Oeste,GO,Cristalina,Fonoaudiólogo,Primária,2.8
2025,Região Centro-Oeste,GO,Valparaíso de Goiás,Biólogo,Secundária,2.3
2014,Região Centro-Oeste,GO,Águas Lindas de Goiás,Enfermeiro,Primária,16.0
2014,Região Centro-Oeste,GO,Águas Lindas de Goiás,Nutricionista,Terciária,0.125
2014,Região Centro-Oeste,GO,Cristalina,Biólogo,Secundária,1.1
2014,Região Centro-Oeste,GO,Luziânia,Agente Comunitário de Saúde,Primária,129.0
2021,Região Centro-Oeste,GO,Águas Lindas de Goiás,Assistente Social,Primária,3.5
2021,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Enfermeiro,Secundária,3.3
2021,Região Centro-Oeste,GO,Valparaíso de Goiás,Cirurgião Dentista,Secundária,30.05
2019,Região Centro-Oeste,GO,Águas Lindas de Goiás,Médico,OUTROS/MÚLTIPLOS,0.25
2019,Região Centro-Oeste,GO,Cidade Ocidental,Enfermeiro,Primária,24.5
2019,Região Centro-Oeste,GO,Luziânia,Enfermeiro,OUTROS/MÚLTIPLOS,21.0
2011,Região Centro-Oeste,GO,Cristalina,Técnico ou Auxiliar de Enfermagem,OUTROS/MÚLTIPLOS,2.0
2011,Região Centro-Oeste,GO,Luziânia,Farmacêutico,Primária,1.0
2023,Região Centro-Oeste,GO,Águas Lindas de Goiás,Fonoaudiólogo,Primária,3.25
2023,Região Centro-Oeste,GO,Cristalina,Técnico ou Auxiliar de Enfermagem,Secundária,27.65
2023,Região Centro-Oeste,GO,Novo Gama,Enfermeiro,OUTROS/MÚLTIPLOS,6.5
2023,Região Centro-Oeste,GO,Valparaíso de Goiás,Fisioterapeuta,Secundária,26.025
2016,Região Centro-Oeste,GO,Cristalina,Fonoaudiólogo,Terciária,0.25
2016,Região Centro-Oeste,GO,Luziânia,Nutricionista,Secundária,1.75
2016,Região Centro-Oeste,GO,Luziânia,Fonoaudiólogo,Secundária,1.5
2016,Região Centro-Oeste,GO,Valparaíso de Goiás,Médico,Secundária,49.05
2016,Região Centro-Oeste,GO,Valparaíso de Goiás,Enfermeiro,OUTROS/MÚLTIPLOS,3.25
2010,Região Centro-Oeste,GO,Luziânia,Farmacêutico,OUTROS/MÚLTIPLOS,0.5
2010,Região Centro-Oeste,GO,Valparaíso de Goiás,Técnico em Radiologia e Imagenologia,Primária,0.5
2013,Região Centro-Oeste,GO,Águas Lindas de Goiás,Técnico ou Auxiliar de Enfermagem,OUTROS/MÚLTIPLOS,5.0
2013,Região Centro-Oeste,GO,Novo Gama,Técnico ou Auxiliar de Enfermagem,Primária,57.4
2013,Região Centro-Oeste,GO,Valparaíso de Goiás,Enfermeiro,OUTROS/MÚLTIPLOS,2.25
2015,Região Centro-Oeste,GO,Cidade Ocidental,Cirurgião Dentista,OUTROS/MÚLTIPLOS,1.0
2022,Região Centro-Oeste,GO,Luziânia,Médico Veterinário,OUTROS/MÚLTIPLOS,2.75
2022,Região Centro-Oeste,GO,Valparaíso de Goiás,Terapeuta Ocupacional,Secundária,1.0
2020,Região Centro-Oeste,GO,Águas Lindas de Goiás,Nutricionista,Primária,6.75
2020,Região Centro-Oeste,GO,Cidade Ocidental,Psicólogo,Primária,2.75
2020,Região Centro-Oeste,GO,Cristalina,Cirurgião Dentista,Secundária,13.25
2020,Região Centro-Oeste,GO,Luziânia,Agente Comunitário de Saúde,Primária,116.0
2020,Região Centro-Oeste,GO,Luziânia,Enfermeiro,Secundária,37.4
2020,Região Centro-Oeste,GO,Valparaíso de Goiás,Biomédico,Secundária,8.8
2024,Região Centro-Oeste,GO,Luziânia,Médico Veterinário,OUTROS/MÚLTIPLOS,1.0
2012,Região Centro-Oeste,GO,Cristalina,Farmacêutico,Terciária,4.15
2012,Região Centro-Oeste,GO,Luziânia,Médico,OUTROS/MÚLTIPLOS,8.7
2018,Região Centro-Oeste,GO,Cidade Ocidental,Técnico ou Auxiliar de Enfermagem,OUTROS/MÚLTIPLOS,3.75
2018,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Assistente Social,Terciária,0.3
2009,Região Centro-Oeste,GO,Águas Lindas de Goiás,Técnico ou Auxiliar de Enfermagem,Primária,13.5
2009,Região Centro-Oeste,GO,Cidade Ocidental,Enfermeiro,Terciária,4.95
2009,Região Centro-Oeste,GO,Luziânia,Cirurgião Dentista,Primária,23.8
2017,Região Centro-Oeste,GO,Cidade Ocidental,Farmacêutico,Terciária,0.5
2017,Região Centro-Oeste,GO,Luziânia,Enfermeiro,Terciária,4.725
2025,Região Centro-Oeste,GO,Luziânia,Técnico em Radiologia e Imagenologia,Terciária,12.0
2025,Região Centro-Oeste,GO,Luziânia,Técnico em Farmácia,Terciária,2.0
2021,Região Centro-Oeste,GO,Águas Lindas de Goiás,Biomédico,Secundária,4.45
2021,Região Centro-Oeste,GO,Luziânia,Biomédico,Secundária,6.25
2026,Região Centro-Oeste,GO,Águas Lindas de Goiás,Enfermeiro,Terciária,88.65
2026,Região Centro-Oeste,GO,Luziânia,Assistente Social,OUTROS/MÚLTIPLOS,3.75
2026,Região Centro-Oeste,GO,Luziânia,Nutricionista,OUTROS/MÚLTIPLOS,0.75
2026,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Médico,Terciária,12.65
2023,Região Centro-Oeste,GO,Cristalina,Fisioterapeuta,Primária,3.5
2023,Região Centro-Oeste,GO,Luziânia,Técnico ou Auxiliar de Saúde Bucal,Primária,21.0
2016,Região Centro-Oeste,GO,Águas Lindas de Goiás,Biólogo,Secundária,3.65
2016,Região Centro-Oeste,GO,Novo Gama,Nutricionista,Primária,0.75
2016,Região Centro-Oeste,GO,Novo Gama,Cirurgião Dentista,Secundária,1.0
2010,Região Centro-Oeste,GO,Luziânia,Nutricionista,Terciária,1.75
2013,Região Centro-Oeste,GO,Cristalina,Técnico ou Auxiliar de Enfermagem,Primária,12.8
2013,Região Centro-Oeste,GO,Valparaíso de Goiás,Enfermeiro,Terciária,11.35
2008,Região Centro-Oeste,GO,Águas Lindas de Goiás,Biólogo,Terciária,5.0
2008,Região Centro-Oeste,GO,Cidade Ocidental,Agente Comunitário de Saúde,OUTROS/MÚLTIPLOS,27.0
2015,Região Centro-Oeste,GO,Novo Gama,Cirurgião Dentista,Secundária,1.0
2022,Região Centro-Oeste,GO,Luziânia,Nutricionista,Terciária,3.4
2022,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Profissional de Educação Física,Primária,1.0
2020,Região Centro-Oeste,GO,Águas Lindas de Goiás,Técnico ou Auxiliar de Enfermagem,Terciária,21.0
2024,Região Centro-Oeste,GO,Águas Lindas de Goiás,Farmacêutico,Secundária,11.1
2024,Região Centro-Oeste,GO,Luziânia,Cirurgião Dentista,OUTROS/MÚLTIPLOS,2.0
2024,Região Centro-Oeste,GO,Valparaíso de Goiás,Enfermeiro,OUTROS/MÚLTIPLOS,10.7
2012,Região Centro-Oeste,GO,Cristalina,Fisioterapeuta,Primária,2.2
2012,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Técnico ou Auxiliar de Saúde Bucal,Secundária,0.6
2018,Região Centro-Oeste,GO,Novo Gama,Agente Comunitário de Saúde,Primária,72.0
2018,Região Centro-Oeste,GO,Novo Gama,Farmacêutico,Primária,2.0
2009,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Biólogo,Secundária,0.5
2009,Região Centro-Oeste,GO,Valparaíso de Goiás,Psicólogo,Primária,1.35
2017,Região Centro-Oeste,GO,Cidade Ocidental,Psicólogo,Primária,1.5
2017,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Cirurgião Dentista,Secundária,4.05
2025,Região Centro-Oeste,GO,Cristalina,Nutricionista,Secundária,3.0
2014,Região Centro-Oeste,GO,Cidade Ocidental,Técnico ou Auxiliar de Enfermagem,Secundária,10.25
2014,Região Centro-Oeste,GO,Cristalina,Médico,Terciária,10.225
2021,Região Centro-Oeste,GO,Novo Gama,Técnico ou Auxiliar de Enfermagem,Secundária,28.2
