uf_sigla,uf,uf_pad,cod_municipio,municipio,municipio_pad
AC,Acre,ACRE,120010,Brasiléia,BRASILEIA
PA,Pará,PARA,150250,Chaves,CHAVES
PA,Pará,PARA,150275,Concórdia do Pará,CONCORDIA DO PARA
PA,Pará,PARA,150655,Santa Luzia do Pará,SANTA LUZIA DO PARA
TO,Tocantins,TOCANTINS,170560,Conceição do Tocantins,CONCEICAO DO TOCANTINS
TO,Tocantins,TOCANTINS,170980,Ipueiras,IPUEIRAS
TO,Tocantins,TOCANTINS,171670,Colméia,COLMEIA
PI,Piauí,PIAUI,220323,Currais,CURRAIS
PI,Piauí,PIAUI,220327,Curral Novo do Piauí,CURRAL NOVO DO PIAUI
PI,Piauí,PIAUI,220470,Inhuma,INHUMA
PI,Piauí,PIAUI,220535,João Costa,JOAO COSTA
PI,Piauí,PIAUI,220870,Redenção do Gurguéia,REDENCAO DO GURGUEIA
PI,Piauí,PIAUI,220885,Riacho Frio,RIACHO FRIO
CE,Ceará,CEARA,230540,Icó,ICO
CE,Ceará,CEARA,230590,Ipueiras,IPUEIRAS
CE,Ceará,CEARA,230780,Marco,MARCO
CE,Ceará,CEARA,231260,São Luís do Curu,SAO LUIS DO CURU
CE,Ceará,CEARA,231375,Umirim,UMIRIM
RN,Rio Grande do Norte,RIO GRANDE DO NORTE,240375,Fernando Pedroza,FERNANDO PEDROZA
RN,Rio Grande do Norte,RIO GRANDE DO NORTE,240770,Montanhas,MONTANHAS
RN,Rio Grande do Norte,RIO GRANDE DO NORTE,240930,Patu,PATU
RN,Rio Grande do Norte,RIO GRANDE DO NORTE,240950,Pedra Grande,PEDRA GRANDE
PB,Paraíba,PARAIBA,250360,Caiçara,CAICARA
PB,Paraíba,PARAIBA,251320,Santa Cruz,SANTA CRUZ
PE,Pernambuco,PERNAMBUCO,260520,Escada,ESCADA
PE,Pernambuco,PERNAMBUCO,261230,Saloá,SALOA
AL,Alagoas,ALAGOAS,270160,Canapi,CANAPI
AL,Alagoas,ALAGOAS,270290,Girau do Ponciano,GIRAU DO PONCIANO
AL,Alagoas,ALAGOAS,270540,Monteirópolis,MONTEIROPOLIS
SE,Sergipe,SERGIPE,280400,Maruim,MARUIM
SE,Sergipe,SERGIPE,280445,Nossa Senhora Aparecida,NOSSA SENHORA APARECIDA
SE,Sergipe,SERGIPE,280620,Salgado,SALGADO
BA,Bahia,BAHIA,290190,Aporá,APORA
BA,Bahia,BAHIA,290870,Condeúba,CONDEUBA
BA,Bahia,BAHIA,291165,Guajeru,GUAJERU
BA,Bahia,BAHIA,291720,Ituaçu,ITUACU
BA,Bahia,BAHIA,292020,Malhada,MALHADA
BA,Bahia,BAHIA,292210,Mundo Novo,MUNDO NOVO
BA,Bahia,BAHIA,292510,Poções,POCOES
MG,Minas Gerais,MINAS GERAIS,310240,Alvorada de Minas,ALVORADA DE MINAS
MG,Minas Gerais,MINAS GERAIS,310690,Bicas,BICAS
MG,Minas Gerais,MINAS GERAIS,311690,Comendador Gomes,COMENDADOR GOMES
MG,Minas Gerais,MINAS GERAIS,311700,Comercinho,COMERCINHO
MG,Minas Gerais,MINAS GERAIS,312083,Cuparaque,CUPARAQUE
MG,Minas Gerais,MINAS GERAIS,312810,Guapé,GUAPE
MG,Minas Gerais,MINAS GERAIS,313280,Itambé do Mato Dentro,ITAMBE DO MATO DENTRO
MG,Minas Gerais,MINAS GERAIS,313380,Itaúna,ITAUNA
MG,Minas Gerais,MINAS GERAIS,313690,Juruaia,JURUAIA
MG,Minas Gerais,MINAS GERAIS,314220,Miraí,MIRAI
MG,Minas Gerais,MINAS GERAIS,315640,Romaria,ROMARIA
MG,Minas Gerais,MINAS GERAIS,315670,Sabará,SABARA
MG,Minas Gerais,MINAS GERAIS,316560,Senador Cortes,SENADOR CORTES
MG,Minas Gerais,MINAS GERAIS,317052,Urucuia,URUCUIA
ES,Espírito Santo,ESPIRITO SANTO,320334,Marechal Floriano,MARECHAL FLORIANO
ES,Espírito Santo,ESPIRITO SANTO,320440,Rio Novo do Sul,RIO NOVO DO SUL
SP,São Paulo,SAO PAULO,350540,Barra do Turvo,BARRA DO TURVO
SP,São Paulo,SAO PAULO,350620,Bento de Abreu,BENTO DE ABREU
SP,São Paulo,SAO PAULO,351230,Conchas,CONCHAS
SP,São Paulo,SAO PAULO,353380,Óleo,OLEO
SP,São Paulo,SAO PAULO,353570,Paraíso,PARAISO
SP,São Paulo,SAO PAULO,353730,Penápolis,PENAPOLIS
SP,São Paulo,SAO PAULO,355255,Suzanápolis,SUZANAPOLIS
SP,São Paulo,SAO PAULO,355535,Ubarana,UBARANA
PR,Paraná,PARANA,410330,Borrazópolis,BORRAZOPOLIS
PR,Paraná,PARANA,410690,Curitiba,CURITIBA
PR,Paraná,PARANA,410890,Guairaçá,GUAIRACA
PR,Paraná,PARANA,411680,Nova Cantu,NOVA CANTU
SC,Santa Catarina,SANTA CATARINA,420780,Irani,IRANI
SC,Santa Catarina,SANTA CATARINA,421830,Três Barras,TRES BARRAS
SC,Santa Catarina,SANTA CATARINA,421870,Tubarão,TUBARAO
SC,Santa Catarina,SANTA CATARINA,421885,União do Oeste,UNIAO DO OESTE
SC,Santa Catarina,SANTA CATARINA,421915,Vargem,VARGEM
RS,Rio Grande do Sul,RIO GRANDE DO SUL,430420,Candelária,CANDELARIA
RS,Rio Grande do Sul,RIO GRANDE DO SUL,430470,Carazinho,CARAZINHO
RS,Rio Grande do Sul,RIO GRANDE DO SUL,430820,Flores da Cunha,FLORES DA CUNHA
RS,Rio Grande do Sul,RIO GRANDE DO SUL,431330,Nova Prata,NOVA PRATA
RS,Rio Grande do Sul,RIO GRANDE DO SUL,431440,Pelotas,PELOTAS
RS,Rio Grande do Sul,RIO GRANDE DO SUL,431470,Planalto,PLANALTO
RS,Rio Grande do Sul,RIO GRANDE DO SUL,431820,São Francisco de Paula,SAO FRANCISCO DE PAULA
RS,Rio Grande do Sul,RIO GRANDE DO SUL,432010,Sarandi,SARANDI
RS,Rio Grande do Sul,RIO GRANDE DO SUL,432285,Vespasiano Corrêa,VESPASIANO CORREA
MT,Mato Grosso,MATO GROSSO,510850,Vera,VERA
GO,Goiás,GOIAS,520090,Amorinópolis,AMORINOPOLIS
GO,Goiás,GOIAS,520150,Aporé,APORE
GO,Goiás,GOIAS,521720,Piranhas,PIRANHAS
RO,Rondônia,RONDONIA,110009,Espigão D'Oeste,ESPIGAO D'OESTE
RO,Rondônia,RONDONIA,110146,Pimenteiras do Oeste,PIMENTEIRAS DO OESTE
AC,Acre,ACRE,120039,Porto Walter,PORTO WALTER
TO,Tocantins,TOCANTINS,171884,Sandolândia,SANDOLANDIA
MA,Maranhão,MARANHAO,210190,Bequimão,BEQUIMAO
MA,Maranhão,MARANHAO,210810,Paulo Ramos,PAULO RAMOS
MA,Maranhão,MARANHAO,210890,Poção de Pedras,POCAO DE PEDRAS
PI,Piauí,PIAUI,220740,Palmeira do Piauí,PALMEIRA DO PIAUI
PI,Piauí,PIAUI,221095,Tamboril do Piauí,TAMBORIL DO PIAUI
RN,Rio Grande do Norte,RIO GRANDE DO NORTE,240470,Ipanguaçu,IPANGUACU
PB,Paraíba,PARAIBA,250939,Maturéia,MATUREIA
PB,Paraíba,PARAIBA,251100,Pedra Branca,PEDRA BRANCA
PE,Pernambuco,PERNAMBUCO,260080,Altinho,ALTINHO
PE,Pernambuco,PERNAMBUCO,261180,Ribeirão,RIBEIRAO
AL,Alagoas,ALAGOAS,270060,Barra de São Miguel,BARRA DE SAO MIGUEL
AL,Alagoas,ALAGOAS,270530,Minador do Negrão,MINADOR DO NEGRAO
